#source: https://www.meteoblue.com/en/weather/archive/export/basel_switzerland_2661604
#location,Basel,Basel,Basel,Basel
#lat,47.54694,47.54694,47.54694,47.54694
#lon,7.56892,7.56892,7.56892,7.56892
#asl,283.697,283.697,283.697,283.697
#variable,Wind Speed,Wind Direction,Wind Speed,Wind Direction
#unit,km/h,°,km/h,°
#level,900 mb,900 mb,500 mb,500 mb
#resolution,hourly,hourly,hourly,hourly
#aggregation,None,None,None,None
timestamp,Basel Wind Speed [900 mb],Basel Wind Direction [900 mb],Basel Wind Speed [500 mb],Basel Wind Direction [500 mb]
20200905T1100,42.51202,262.21298,76.038445,258.53046
20200905T1200,37.47114,261.7142,78.33206,256.98566
20200905T1300,31.32207,269.34146,79.8981,256.71515
20200905T1400,33.841915,270.6095,76.665634,255.31122
20200905T1500,25.60053,273.22452,75.31231,253.90413
20200905T1600,25.006397,276.61346,76.205284,253.53409
20200905T1700,23.233253,282.5288,76.50402,254.72125
20200905T1800,19.353138,288.43497,77.94644,258.2749
20200905T1900,15.7908325,294.22775,80.25336,260.7067
20200905T2000,16.78156,305.3948,81.459496,263.91147
20200905T2100,17.906157,329.82648,73.81405,268.88217
20200905T2200,21.485697,351.32684,66.61556,271.23865
20200905T2300,22.346113,357.2298,66.2752,271.86768
20200906T0000,22.33161,358.1524,62.723732,272.96094
20200906T0100,18.806337,354.5077,63.364094,269.34894
20200906T0200,14.685176,348.69006,64.88094,267.1376
20200906T0300,14.658676,335.32312,66.45975,265.33948
20200906T0400,15.986593,324.16235,68.856995,263.39517
20200906T0500,16.676977,302.66092,68.63265,262.46494
20200906T0600,15.124284,308.23383,66.23707,261.56165
20200906T0700,15.509274,338.1986,66.17051,259.97397
20200906T0800,15.463246,335.22485,67.711586,258.0329
20200906T0900,12.496718,318.50354,68.896515,255.16501
20200906T1000,12.218805,315.0,69.21743,251.18811
20200906T1100,13.755579,312.8789,70.73061,245.65259
20200906T1200,12.904882,329.8586,72.770775,243.56172
20200906T1300,13.089354,328.49573,72.945984,244.57312
20200906T1400,10.787993,334.29004,73.25801,244.06454
20200906T1500,11.525623,345.52972,70.225845,245.1428
20200906T1600,14.494192,345.61862,69.748085,245.28683
20200906T1700,17.518356,350.5377,72.987724,250.4032
20200906T1800,17.057314,352.725,69.86319,248.8565
20200906T1900,18.448023,354.40067,62.727867,251.25311
20200906T2000,21.611998,358.09085,60.72486,253.82132
20200906T2100,22.33161,1.8475952,59.64386,254.9572
20200906T2200,19.559633,6.340164,58.107388,258.20276
20200906T2300,15.542662,13.392487,56.66656,262.3332
20200907T0000,12.522619,18.434952,53.485146,264.98016
20200907T0100,11.043261,19.025604,51.222572,266.37344
20200907T0200,9.339208,27.552795,47.607193,266.53177
20200907T0300,6.439876,63.43495,44.456722,264.8896
20200907T0400,9.9571085,102.52881,40.06365,265.87772
20200907T0500,13.441071,82.303955,34.567497,268.80652
20200907T0600,10.853866,84.289406,29.268686,274.9392
20200907T0700,16.09969,79.695145,21.566975,284.50018
20200907T0800,25.929996,88.40886,14.81259,295.94232
20200907T0900,31.06239,85.34664,10.739832,320.44034
20200907T1000,27.551172,83.24643,11.792404,347.66092
20200907T1100,22.530937,77.074,15.137133,357.2737
20200907T1200,11.440979,65.854454,18.03237,3.433609
20200907T1300,10.00256,59.74356,20.545246,11.113037
20200907T1400,13.551501,50.389297,22.961115,41.18593
20200907T1500,13.493999,46.080917,25.212852,46.735703
20200907T1600,13.783817,49.23639,27.155552,51.458817
20200907T1700,11.885453,54.86579,28.00837,52.835518
20200907T1800,11.435313,61.821404,27.288855,53.58361
20200907T1900,15.034041,73.30075,30.096085,53.26716
20200907T2000,18.214718,71.56504,34.358788,54.81125
20200907T2100,16.981165,85.13548,38.342957,55.71312
20200907T2200,21.2522,91.94148,40.142822,60.446304
20200907T2300,25.942488,87.61405,38.64764,62.241455
20200908T0000,27.009598,91.52753,36.06474,63.946503
20200908T0100,26.28,89.99999,33.326744,63.71173
20200908T0200,26.282465,89.215164,32.19938,63.43495
20200908T0300,25.570139,88.38646,30.302078,66.17573
20200908T0400,23.78453,87.39744,27.943512,68.061516
20200908T0500,21.2522,79.26109,27.009598,68.90766
20200908T0600,15.941944,64.59228,26.427528,65.87901
20200908T0700,12.984975,46.123276,26.807312,67.91283
20200908T0800,11.246759,39.805573,26.758923,70.346176
20200908T0900,10.691453,44.999985,26.525429,71.81095
20200908T1000,9.885262,56.88865,26.554728,74.26799
20200908T1100,9.693296,68.19859,25.932495,76.34958
20200908T1200,8.225035,66.8014,25.509243,81.069405
20200908T1300,7.653705,48.81407,25.683926,84.369316
20200908T1400,13.004921,85.23635,27.009598,88.472466
20200908T1500,11.043261,70.97439,26.642431,90.774216
20200908T1600,8.4963045,53.61563,26.576681,98.569145
20200908T1700,5.1919937,33.690063,25.171696,106.62075
20200908T1800,4.3349743,41.63353,24.490585,114.30454
20200908T1900,3.7585104,73.30075,23.710857,120.06857
20200908T2000,6.6185193,112.380135,21.26744,123.95906
20200908T2100,10.787993,115.70995,20.08916,126.25384
20200908T2200,14.007655,115.90651,20.592503,126.46923
20200908T2300,16.179985,110.854454,22.039528,128.36748
20200909T0000,17.072504,114.9439,24.29133,129.58813
20200909T0100,16.42247,116.00334,25.076267,129.17365
20200909T0200,15.141414,118.39302,25.133053,128.01895
20200909T0300,12.10157,120.37913,23.469128,131.2686
20200909T0400,9.686609,131.98721,21.94524,138.9909
20200909T0500,8.217153,151.18921,22.608458,142.76517
20200909T0600,7.9932976,172.23483,20.456745,151.63095
20200909T0700,7.69592,190.7843,20.730501,159.67686
20200909T0800,7.386582,226.97495,22.657131,162.42874
20200909T0900,9.72,270.0,22.033648,175.3141
20200909T1000,11.659777,261.11935,23.78453,177.39743
20200909T1100,15.328561,260.5377,24.187069,184.2679
20200909T1200,20.211363,265.91437,25.959969,199.44003
20200909T1300,18.72,270.0,25.772078,204.77515
20200909T1400,14.759999,282.6804,27.322077,198.43495
20200909T1500,12.7279215,278.1301,27.212759,207.58203
20200909T1600,15.546833,275.31454,26.562046,212.82855
20200909T1700,16.199999,270.0,26.42753,217.80653
20200909T1800,15.84,270.0,25.35637,218.65982
20200909T1900,20.240196,264.89783,23.565569,214.41837
20200909T2000,23.803596,273.46823,23.773632,212.00539
20200909T2100,20.316889,299.74487,23.966375,212.73523
20200909T2200,14.113652,322.2532,22.473343,215.21759
20200909T2300,11.966953,338.83875,18.864824,221.90594
20200910T0000,10.041354,345.46555,16.08761,229.53778
20200910T0100,9.72,360.0,13.783817,229.23639
20200910T0200,8.557102,14.620865,11.4862,237.80426
20200910T0300,9.178235,25.559967,9.085988,236.30994
20200910T0400,9.0,36.86989,5.937272,255.96376
20200910T0500,11.966954,43.781113,3.8773184,248.1986
20200910T0600,12.88981,54.09027,3.6,216.8699
20200910T0700,13.084402,82.092834,2.8116899,219.80557
20200910T0800,10.440001,89.99999,1.4399999,180.0
20200910T0900,10.495713,67.83366,3.5455887,156.0375
20200910T1000,10.823973,86.18592,7.8954163,155.77225
20200910T1100,9.779817,83.65981,11.659777,171.11934
20200910T1200,9.0,73.73979,13.684735,181.50743
20200910T1300,6.9527545,21.250488,15.158522,184.08562
20200910T1400,14.332341,348.40784,15.0038395,210.25644
20200910T1500,17.294992,2.3859253,16.489416,216.11934
20200910T1600,12.904882,30.141388,16.563911,222.35745
20200910T1700,10.365251,69.67686,16.80857,226.73572
20200910T1800,9.9571085,77.47118,16.418526,232.12502
20200910T1900,11.177405,75.06858,16.92383,231.91122
20200910T2000,9.779817,83.65981,18.504139,232.90717
20200910T2100,12.979984,93.179825,17.49615,233.36589
20200910T2200,21.188072,99.7824,18.0,233.1301
20200910T2300,22.530937,102.925995,17.208603,232.65065
20200911T0000,23.157824,101.659294,17.10284,229.2679
20200911T0100,22.805367,101.84207,18.391737,229.76364
20200911T0200,23.535301,96.14662,16.039202,225.9094
20200911T0300,20.929596,86.05482,15.782622,225.0
20200911T0400,15.937878,71.56504,15.575981,236.30994
20200911T0500,13.905509,68.7495,15.256526,250.70996
20200911T0600,13.441071,69.62356,13.441071,249.62357
20200911T0700,14.458382,71.113914,9.387651,237.52881
20200911T0800,14.241629,73.85565,10.009036,217.69424
20200911T0900,14.934577,74.62374,11.298495,202.47943
20200911T1000,16.167967,78.439865,9.504273,204.62357
20200911T1100,19.201874,83.54118,10.315115,209.24883
20200911T1200,15.463244,77.905235,14.4,216.8699
20200911T1300,7.9932966,35.837646,13.684735,215.36246
20200911T1400,7.2,360.0,5.634891,243.43495
20200911T1500,8.311245,342.34988,7.0911775,246.0375
20200911T1600,6.87779,353.991,6.9899354,258.11133
20200911T1700,5.0911684,8.130096,6.489992,266.8202
20200911T1800,4.39436,34.99202,5.4477882,262.40536
20200911T1900,4.0249224,63.43495,5.4477882,262.40536
20200911T2000,4.32,89.99999,5.4119864,266.1859
20200911T2100,5.4119864,86.18592,4.1046314,285.25513
20200911T2200,6.4799995,89.99999,2.16,270.0
20200911T2300,6.87779,96.009,2.5959969,236.30994
20200912T0000,6.489992,93.179825,4.1046314,217.87498
20200912T0100,6.849467,93.01279,5.1165614,230.7106
20200912T0200,6.849467,93.01279,5.154415,245.22485
20200912T0300,6.519877,96.34019,4.896529,252.89728
20200912T0400,5.4477882,97.59464,4.5536795,251.56506
20200912T0500,5.1544156,102.09476,3.5455887,246.0375
20200912T0600,5.2416787,105.9454,2.7416782,246.8014
20200912T0700,5.5887027,104.93142,2.3051248,231.3402
20200912T0800,5.0911684,98.1301,3.396233,212.00539
20200912T0900,5.0528407,94.08562,5.495161,211.6075
20200912T1000,5.1544156,102.09476,7.42159,219.09386
20200912T1100,4.829907,116.56505,10.296251,233.53076
20200912T1200,3.6,126.869896,13.708391,246.8014
20200912T1300,1.08,180.0,16.676977,256.26373
20200912T1400,0.5091169,315.0,6.6185193,292.38013
20200912T1500,1.8,306.8699,7.6367526,315.0
20200912T1600,1.1384199,288.43497,9.227524,339.44397
20200912T1700,2.0991426,300.96378,11.879999,360.0
20200912T1800,3.319036,310.60132,14.003029,17.969131
20200912T1900,3.6,323.13013,16.58346,27.121292
20200912T2000,4.8965297,323.97263,18.089775,31.159302
20200912T2100,4.6938257,327.5288,19.083395,35.78897
20200912T2200,3.4152596,341.56506,19.35314,43.492554
20200912T2300,1.4399999,360.0,19.881649,47.93567
20200913T0000,1.4399999,360.0,19.228851,51.842773
20200913T0100,1.5273507,44.999985,19.64228,48.71527
20200913T0200,2.8799999,89.99999,20.620804,45.70732
20200913T0300,4.3349743,85.23635,20.188908,50.063614
20200913T0400,6.6185193,67.61986,19.272614,57.200462
20200913T0500,9.511088,60.524117,18.514643,63.43495
20200913T0600,9.504273,65.37643,18.532135,60.945396
20200913T0700,9.114471,80.90972,19.201874,59.58893
20200913T0800,9.178235,78.69006,19.813087,65.29757
20200913T0900,10.799999,89.99999,19.734436,75.20324
20200913T1000,13.039754,96.34019,19.829433,86.87787
20200913T1100,16.595179,86.26859,19.917469,96.22582
20200913T1200,18.72,89.99999,19.562946,102.75753
20200913T1300,17.64,89.99999,18.079027,102.65255
20200913T1400,19.523155,84.709915,13.797912,97.49586
20200913T1500,15.226764,83.21102,14.264361,100.17551
20200913T1600,9.9571085,77.47118,15.281989,105.01836
20200913T1700,9.746631,85.7636,15.937878,108.434944
20200913T1800,15.137133,92.72631,16.516901,110.409874
20200913T1900,19.083395,88.919075,16.78156,112.71441
20200913T2000,23.770906,91.7357,16.595179,114.34109
20200913T2100,24.64094,101.80243,17.072504,114.9439
20200913T2200,26.081993,110.1858,18.03237,116.05349
20200913T2300,24.162947,118.4742,19.201874,120.41107
20200914T0000,18.079027,125.27242,19.881649,121.67546
20200914T0100,14.20062,120.465546,20.073025,122.55
20200914T0200,11.753877,117.34987,21.767351,124.2157
20200914T0300,10.464797,116.56505,23.770906,125.13419
20200914T0400,8.891343,121.759476,26.089443,129.40067
20200914T0500,7.7879906,146.30994,28.528723,132.95459
20200914T0600,6.489992,183.17982,30.54701,135.0
20200914T0700,6.297428,239.03625,32.587456,134.10483
20200914T0800,10.805999,268.09085,34.882866,133.74554
20200914T0900,12.24,270.0,35.90086,133.78113
20200914T1000,11.5199995,270.0,36.659946,134.20427
20200914T1100,13.441071,277.69604,37.427883,136.16913
20200914T1200,13.5515,286.99084,38.459393,136.89651
20200914T1300,13.708391,283.67133,38.214302,137.2906
20200914T1400,12.864649,287.92792,42.002914,135.34724
20200914T1500,11.165805,290.77228,43.536186,136.00508
20200914T1600,7.8625183,285.9454,43.89048,138.9909
20200914T1700,3.6,270.0,42.984966,143.51399
20200914T1800,1.8,270.0,43.034683,145.91113
20200914T1900,1.8,270.0,43.933273,146.70058
20200914T2000,2.9024127,277.125,43.09487,149.36458
20200914T2100,2.1897945,260.5377,41.26046,150.75117
20200914T2200,3.319036,220.6013,41.616997,149.88626
20200914T2300,4.6938257,212.47119,40.813583,149.81631
20200915T0000,6.12,208.0725,40.57633,152.52557
20200915T0100,6.3690495,222.7094,40.104065,155.04526
20200915T0200,6.297428,239.03625,39.711117,157.61987
20200915T0300,5.6920996,251.56506,40.66088,159.80019
20200915T0400,6.519877,263.65982,42.279697,164.18863
20200915T0500,9.114471,260.90973,41.66368,167.52489
20200915T0600,12.620554,273.2705,38.64764,170.88864
20200915T0700,16.516901,290.40988,36.997772,169.3461
20200915T0800,17.727943,282.9074,38.26852,168.05582
20200915T0900,16.24394,282.80426,38.6208,163.76115
20200915T1000,17.87718,295.0169,40.66088,159.80019
20200915T1100,15.7908325,294.22775,42.694542,155.59602
20200915T1200,12.682018,304.5923,42.5044,153.869
20200915T1300,9.290511,305.5377,41.67612,160.31288
20200915T1400,9.659814,296.56506,42.34708,165.72748
20200915T1500,5.1919937,303.69006,39.541046,169.50853
20200915T1600,2.3051248,308.65982,37.827415,171.79279
20200915T1700,1.9386592,21.801407,36.47388,175.47118
20200915T1800,2.8116899,50.194427,32.831135,176.22772
20200915T1900,2.5455842,44.999985,29.268686,175.06079
20200915T2000,2.1897945,9.462311,26.079508,173.6598
20200915T2100,1.609969,26.565033,24.216522,168.85712
20200915T2200,1.8,89.99999,25.516865,163.61046
20200915T2300,2.8799999,89.99999,25.501621,161.0535
20200916T0000,3.2599385,83.65981,22.59699,157.52057
20200916T0100,3.7064266,60.945396,20.326454,157.0679
20200916T0200,4.39436,55.007973,17.414474,150.25511
20200916T0300,4.3349743,48.366455,16.676977,147.33908
20200916T0400,4.3349743,41.63353,14.982228,144.78241
